experiment,transition,rows
phase01_lora_r16_F1,right_to_wrong,1
phase01_lora_r16_F1,unchanged,19
phase02_lora_r16_F1,right_to_wrong,2
phase02_lora_r16_F1,unchanged,17
phase02_lora_r16_F1,wrong_to_right,1
phase02_lora_r16_F3,right_to_wrong,1
phase02_lora_r16_F3,unchanged,19
phase02_lora_r16_F8,right_to_wrong,1
phase02_lora_r16_F8,unchanged,19
phase02_zero_shot_F1,unchanged,19
phase02_zero_shot_F1,wrong_to_right,1
phase02_zero_shot_F3,right_to_wrong,1
phase02_zero_shot_F3,unchanged,18
phase02_zero_shot_F3,wrong_to_right,1
phase02_zero_shot_F8,right_to_wrong,3
phase02_zero_shot_F8,unchanged,15
phase02_zero_shot_F8,wrong_to_right,2
phase03_r8_F1,unchanged,20
