resample,accuracy_delta,macro_f1_delta,class_f1_A_delta,class_f1_B_delta,class_f1_C_delta,class_f1_D_delta,parse_rate_delta,mean_latency_seconds_delta,mean_realized_tiles_delta
0,0.06578947368421056,0.11077602090018873,0.16697588126159557,-0.015265700483091726,0.06317420585255384,0.22821969696969696,0.006578947368421018,1.3733536017151842,0.18421052631578938
1,-0.016666666666666663,0.010338521293637604,-0.017460317460317454,-0.020074547390841246,0.018664860389854765,0.06022408963585438,0.00666666666666671,1.3676129807376616,0.20000000000000018
2,0.019867549668874163,0.027505820704350092,0.07244607244607243,0.018055555555555602,0.02344322344322347,-0.003921568627450994,0.0066225165562914245,1.378696109057213,0.1788079470198678
3,0.04140127388535031,0.06739555986882018,0.15961904761904766,0.030000156413745593,-0.06349206349206349,0.143455098934551,0.0031847133757961776,1.3285263515000416,0.12101910828025453
4,0.04472843450479236,0.08957475650689123,0.16834560247965902,0.03620233770726766,0.0044973544973545,0.14925373134328357,0.006389776357827448,1.3250221708438361,0.23003194888178946
5,0.016233766233766267,0.040597212015444195,0.06098790322580644,0.004216867469879482,0.023719165085389016,0.07346491228070173,0.00649350649350644,1.2946945795087845,0.16883116883116855
6,0.08284023668639051,0.10423284286681678,0.1451506123800066,0.03199174406604749,0.08540305010893245,0.15438596491228074,0.00591715976331364,1.229482388603308,0.1360946745562126
7,0.05617977528089885,0.07003055168846617,0.13934902644580066,0.10952380952380958,-0.02156448202959832,0.05281385281385281,0.0037453183520599342,1.2918361804486438,0.14981273408239737
8,0.013937282229965153,0.024541250585366825,0.036363636363636376,0.019066976384049528,0.005456150204605659,0.03727823938917585,0.0034843205574912606,1.3336094766498288,0.1881533101045294
9,0.019736842105263164,0.06090335148310794,0.13205128205128208,-0.03685937158270758,0.04067895815042433,0.10774253731343286,0.0,1.270038284802515,0.2828947368421053
10,0.04901960784313725,0.07650679246966408,0.11558811558811555,0.054221720915243354,0.059746745140003554,0.07647058823529412,0.013071895424836555,1.3420095522066249,0.09150326797385588
11,0.0684931506849315,0.06615167704464114,0.10353260869565217,0.08238397889435184,0.025356787255227387,0.05333333333333329,0.0,1.3524395384704566,0.13013698630136972
12,0.04966887417218541,0.08374147944733873,0.07325114031522378,0.0385253183298786,0.1056844289631661,0.11750503018108652,0.0066225165562914245,1.4724165921019305,0.1456953642384109
13,0.0714285714285714,0.1044742513623082,0.13239494084047326,0.06572856593617837,0.024901703800786323,0.1948717948717949,0.003401360544217691,1.3563336834571245,0.22448979591836693
14,0.04140127388535031,0.08232246432582419,0.05077393726313867,0.031155214379329665,0.08860315604909413,0.15875754961173422,0.0031847133757961776,1.3393642262134486,0.1910828025477711
15,0.042207792207792194,0.074154551191629,0.08787407023006394,0.015586640022837495,0.0581402729292288,0.13501722158438578,0.0032467532467532756,1.3028945119797504,0.18181818181818166
16,0.047619047619047616,0.06695787419211452,0.1439909297052155,0.01098039215686275,0.01589047793668258,0.09696969696969698,0.0,1.416261910720646,0.22448979591836693
17,0.046666666666666634,0.059972611162203204,0.10961571017436939,0.05182446357134196,0.06575185820468843,0.012698412698412653,0.0,1.2720270376373084,0.21999999999999975
18,-0.015290519877675823,-0.014447650842226878,0.02025497438341478,-0.032900432900432985,0.012714558169103607,-0.0578597030209933,0.003058103975535187,1.2794995464908603,0.2629969418960245
19,0.07096774193548383,0.09761031136877579,0.191326757309162,0.02713920817369092,0.05577809689365887,0.11619718309859156,0.006451612903225823,1.4107503051028378,0.21935483870967776
20,0.003460207612456745,0.043230909575654786,0.10408670128697223,0.016140949133276572,-0.06064356435643564,0.11333955223880599,0.0034602076124568004,1.388408452662346,0.304498269896194
21,0.06690140845070419,0.07642048355624109,0.12747464992757118,0.10582088999221906,0.012786980528916025,0.05959941377625794,0.0,1.3293107545468956,0.19014084507042295
22,0.0,0.03649484520388718,0.13106655042138915,-0.04418423106947694,-0.05560613488339522,0.11470319634703194,0.0,1.3645747706076752,0.2333333333333334
23,-0.046875,-0.0022920758767317473,0.07591540404040403,-0.09684058865905121,-0.058391608391608396,0.07014848950332825,0.0031250000000000444,1.324254606562317,0.21250000000000036
24,0.013559322033898313,0.06282496973824753,0.10885167464114837,-0.03788141470180306,0.012941451625477551,0.16738816738816736,0.0,1.346511277739527,0.17627118644067785
25,0.07241379310344831,0.09980797822942572,0.18098244962392046,0.022831050228310446,0.09131859131859132,0.1040998217468806,0.0034482758620689724,1.3634737055491783,0.11034482758620712
26,0.08387096774193548,0.12317989244277178,0.1619554373129365,0.01858202174741347,0.12762467191601046,0.18455743879472697,0.0,1.3000867804091782,0.15483870967741975
27,0.059233449477351874,0.09516452203768105,0.1489289645245957,0.01620955715489847,0.04003336113427858,0.17548620533695158,0.006968641114982632,1.383776708155585,0.09756097560975618
28,0.07823129251700678,0.10094468780608923,0.14777804467931777,0.05719489981785064,0.0557312252964427,0.1430745814307458,0.010204081632653073,1.3656883455850943,0.0952380952380949
29,0.02547770700636942,0.04522177004503347,0.03666745862041665,0.02386988080804897,0.010131600682781794,0.1102181400688863,0.0,1.3379308915797885,0.1592356687898091
30,0.06756756756756754,0.10555989978154773,0.10784313725490197,0.02429849971896747,0.1650262467191601,0.1250717154331612,0.0033783783783783994,1.355553924942993,0.23648648648648685
31,0.03973509933774838,0.07384803594039718,0.15227524972253054,0.02427041103981531,-0.019568151147098534,0.13841463414634148,0.0033112582781457123,1.4036748277344153,0.298013245033113
