resample,accuracy_delta,macro_f1_delta,class_f1_A_delta,class_f1_B_delta,class_f1_C_delta,class_f1_D_delta,parse_rate_delta,mean_latency_seconds_delta,mean_realized_tiles_delta
0,0.006578947368421073,0.01391012549989773,-0.007047216349541918,0.006234357224118359,-0.019826680672268893,0.07628004179728315,0.006578947368421018,0.27786027731092056,-2.0921052631578947
1,0.07,0.07834433490541387,0.12698412698412703,0.05711544123259438,0.017032873445750274,0.11224489795918366,0.00666666666666671,0.24611703997788337,-2.0999999999999996
2,-0.0033112582781457123,-0.0032698410565783487,-0.037606837606837584,0.021710526315789513,-0.06641382216603453,0.0692307692307692,0.0066225165562914245,0.2418970045824813,-2.089403973509934
3,0.0286624203821656,0.02686407635010618,0.06574149659863948,0.047768539920194086,-0.03549556305461815,0.02944183193620936,0.0031847133757961776,0.24340145678739922,-2.0605095541401273
4,0.04153354632587858,0.045050631040862155,0.0846628924343798,0.05321576662749927,-0.02054361567635904,0.06286748077792856,0.006389776357827448,0.22271968759060756,-2.115015974440894
5,0.048701298701298745,0.04467930939244791,0.0358455882352941,0.07091503267973853,-0.0015082956259426794,0.07346491228070173,0.00649350649350644,0.2447595876556905,-2.0844155844155843
6,0.041420118343195256,0.05058070667871506,0.06355126517478421,0.02807418317352489,0.022978080120937272,0.08771929824561403,0.00591715976331364,0.19916562140869676,-2.0680473372781067
7,0.07116104868913853,0.07036352920454225,0.10043010752688175,0.07875457875457881,0.05116279069767443,0.051106639839034185,0.0037453183520599342,0.22275974285834188,-2.074906367041198
8,0.02090592334494773,0.02139097225142944,0.03710273466371028,0.034767459475836926,-0.07131839216042102,0.08501208702659147,0.0034843205574912606,0.22511267745121,-2.094076655052265
9,0.05263157894736842,0.06254760311439084,0.0992753623188406,0.04553265499536552,0.022937476877543495,0.0824449182658138,0.0,0.22852758678154228,-2.141447368421052
10,0.065359477124183,0.05818565183421248,0.11188811188811187,0.08680500554411541,-0.0006300535545521457,0.03467954345917468,0.013071895424836555,0.274366200743304,-2.045751633986929
