sample_id,correct_control,correct_candidate,experiment,transition
train_0006,True,True,Z-F3,unchanged
train_0040,True,True,Z-F3,unchanged
train_0041,True,True,Z-F3,unchanged
train_0042,False,False,Z-F3,unchanged
train_0043,True,True,Z-F3,unchanged
train_0044,True,True,Z-F3,unchanged
train_0050,False,False,Z-F3,unchanged
train_0051,False,False,Z-F3,unchanged
train_0058,True,False,Z-F3,right_to_wrong
train_0059,True,True,Z-F3,unchanged
train_0060,True,True,Z-F3,unchanged
train_0061,True,True,Z-F3,unchanged
train_0062,True,True,Z-F3,unchanged
train_0063,True,True,Z-F3,unchanged
train_0070,True,False,Z-F3,right_to_wrong
train_0071,True,False,Z-F3,right_to_wrong
train_0078,True,True,Z-F3,unchanged
train_0079,True,True,Z-F3,unchanged
train_0088,False,False,Z-F3,unchanged
train_0089,False,False,Z-F3,unchanged
train_0092,True,True,Z-F3,unchanged
train_0093,False,False,Z-F3,unchanged
train_0098,True,True,Z-F3,unchanged
train_0099,False,False,Z-F3,unchanged
train_0104,False,False,Z-F3,unchanged
train_0105,False,False,Z-F3,unchanged
train_0106,True,False,Z-F3,right_to_wrong
train_0107,True,True,Z-F3,unchanged
train_0115,False,False,Z-F3,unchanged
train_0116,True,False,Z-F3,right_to_wrong
train_0117,True,True,Z-F3,unchanged
train_0118,True,False,Z-F3,right_to_wrong
train_0119,True,True,Z-F3,unchanged
train_0120,True,True,Z-F3,unchanged
train_0121,True,True,Z-F3,unchanged
train_0134,False,False,Z-F3,unchanged
train_0135,True,True,Z-F3,unchanged
train_0136,False,False,Z-F3,unchanged
train_0137,True,True,Z-F3,unchanged
train_0138,False,False,Z-F3,unchanged
train_0141,True,True,Z-F3,unchanged
train_0142,True,True,Z-F3,unchanged
train_0157,False,False,Z-F3,unchanged
train_0158,False,False,Z-F3,unchanged
train_0159,False,False,Z-F3,unchanged
train_0162,False,False,Z-F3,unchanged
train_0163,True,True,Z-F3,unchanged
train_0164,False,True,Z-F3,wrong_to_right
train_0166,False,False,Z-F3,unchanged
train_0167,False,False,Z-F3,unchanged
train_0168,True,True,Z-F3,unchanged
train_0182,True,True,Z-F3,unchanged
train_0183,False,False,Z-F3,unchanged
train_0184,False,False,Z-F3,unchanged
train_0185,False,False,Z-F3,unchanged
train_0186,True,True,Z-F3,unchanged
train_0191,False,False,Z-F3,unchanged
train_0192,True,True,Z-F3,unchanged
train_0193,True,True,Z-F3,unchanged
train_0199,False,False,Z-F3,unchanged
train_0200,True,True,Z-F3,unchanged
train_0228,True,True,Z-F3,unchanged
train_0229,False,False,Z-F3,unchanged
train_0236,False,False,Z-F3,unchanged
train_0237,False,True,Z-F3,wrong_to_right
train_0240,False,True,Z-F3,wrong_to_right
train_0241,True,True,Z-F3,unchanged
train_0246,False,True,Z-F3,wrong_to_right
train_0247,True,True,Z-F3,unchanged
