experiment,class,precision,recall,f1,support,f1_ci95_low,f1_ci95_high
Z-F1,A,0.6176470588235294,0.2441860465116279,0.35,86,0.23008849557522124,0.45901639344262296
Z-F1,B,0.3891625615763547,0.79,0.5214521452145214,100,0.4527027027027027,0.5874587458745875
Z-F1,C,0.5882352941176471,0.2857142857142857,0.38461538461538464,70,0.25,0.509090909090909
Z-F1,D,0.4230769230769231,0.2619047619047619,0.3235294117647059,42,0.16326530612244897,0.48
Z-F3,A,0.574468085106383,0.313953488372093,0.40601503759398494,86,0.2878787878787879,0.5142857142857142
Z-F3,B,0.43617021276595747,0.82,0.5694444444444444,100,0.4981684981684982,0.6366631167182091
Z-F3,C,0.5365853658536586,0.3142857142857143,0.3963963963963964,70,0.28260230179028134,0.5
Z-F3,D,0.5909090909090909,0.30952380952380953,0.40625,42,0.24,0.5538461538461539
Z-F8,A,0.6363636363636364,0.32558139534883723,0.4307692307692308,86,0.2909090909090909,0.5517241379310345
Z-F8,B,0.43157894736842106,0.82,0.5655172413793104,100,0.50187265917603,0.625
Z-F8,C,0.5238095238095238,0.3142857142857143,0.39285714285714285,70,0.2765957446808511,0.49635036496350365
Z-F8,D,0.5909090909090909,0.30952380952380953,0.40625,42,0.24390243902439024,0.5517241379310345
L16-F1,A,0.3894736842105263,0.43023255813953487,0.4088397790055249,86,0.30939226519337015,0.5027932960893855
L16-F1,B,0.48484848484848486,0.64,0.5517241379310345,100,0.47577092511013214,0.6244725738396625
L16-F1,C,0.5208333333333334,0.35714285714285715,0.423728813559322,70,0.3090909090909091,0.5294243338360983
L16-F1,D,0.5217391304347826,0.2857142857142857,0.36923076923076925,42,0.2,0.5238290398126461
L16-F3,A,0.4148936170212766,0.45348837209302323,0.43333333333333335,86,0.3176470588235294,0.5420560747663551
L16-F3,B,0.5,0.63,0.5575221238938053,100,0.4782608695652174,0.6324786324786325
L16-F3,C,0.5,0.38571428571428573,0.43548387096774194,70,0.3111003236245955,0.5454545454545454
L16-F3,D,0.5,0.2857142857142857,0.36363636363636365,42,0.18181818181818182,0.5194805194805194
L16-F8,A,0.44329896907216493,0.5,0.46994535519125685,86,0.3592814371257485,0.57
L16-F8,B,0.4918032786885246,0.6,0.5405405405405406,100,0.46078431372549017,0.6168247547310177
L16-F8,C,0.48214285714285715,0.38571428571428573,0.42857142857142855,70,0.3140495867768595,0.5277777777777778
L16-F8,D,0.6086956521739131,0.3333333333333333,0.4307692307692308,42,0.25,0.5789664378337145
L8-F1,A,0.38461538461538464,0.5813953488372093,0.46296296296296297,86,0.3646394452117864,0.5506132917038358
L8-F1,B,0.4954954954954955,0.55,0.5213270142180095,100,0.43564136413641363,0.6010527355756562
L8-F1,C,0.5555555555555556,0.2857142857142857,0.37735849056603776,70,0.24299065420560748,0.5
L8-F1,D,0.5238095238095238,0.2619047619047619,0.3492063492063492,42,0.18181818181818182,0.5063291139240507
L32-F1,A,0.5181818181818182,0.6627906976744186,0.5816326530612245,86,0.4827586206896552,0.6666666666666666
L32-F1,B,0.5283018867924528,0.56,0.5436893203883495,100,0.4522542088975953,0.6268656716417911
L32-F1,C,0.5178571428571429,0.4142857142857143,0.4603174603174603,70,0.3418803418803419,0.5641025641025641
L32-F1,D,0.6153846153846154,0.38095238095238093,0.47058823529411764,42,0.29785796434732603,0.6111111111111112
L64-F1,A,0.4789915966386555,0.6627906976744186,0.5560975609756098,86,0.4541049745397572,0.6448598130841121
L64-F1,B,0.5166666666666667,0.31,0.3875,100,0.28169014084507044,0.4895123106060606
L64-F1,C,0.5125,0.5857142857142857,0.5466666666666666,70,0.4460431654676259,0.6373660714285714
L64-F1,D,0.5128205128205128,0.47619047619047616,0.49382716049382713,42,0.3384615384615385,0.6172930283224399
