dataset_index,supervised_tokens,masked_tokens,total_tokens
0,5,1326,1331
23,5,1324,1329
47,10,1346,1356
71,13,811,824
95,6,835,841
119,5,827,832
143,31,811,842
167,6,833,839
191,15,812,827
214,6,815,821
238,5,820,825
262,9,818,827
286,11,818,829
310,16,818,834
334,9,816,825
358,24,1341,1365
382,6,827,833
405,40,824,864
429,7,829,836
453,14,838,852
477,19,818,837
501,11,820,831
525,5,824,829
549,5,820,825
573,20,820,840
596,27,830,857
620,6,812,818
644,5,811,816
668,16,812,828
692,19,814,833
716,7,810,817
740,6,816,822
764,11,810,821
787,7,813,820
811,15,822,837
835,12,809,821
859,6,819,825
883,26,810,836
907,10,815,825
931,9,814,823
955,14,819,833
978,18,822,840
1002,9,819,828
1026,20,822,842
1050,10,849,859
1074,23,849,872
1098,11,825,836
1122,23,826,849
1146,17,821,838
1170,12,819,831
