parameter_name,delta_norm,changed
base_model.model.language_model.model.layers.0.self_attn.q_proj.lora_A.default.weight,0.19289129972457886,True
base_model.model.language_model.model.layers.0.self_attn.q_proj.lora_B.default.weight,0.15221403539180756,True
base_model.model.language_model.model.layers.0.self_attn.k_proj.lora_A.default.weight,0.22564706206321716,True
base_model.model.language_model.model.layers.0.self_attn.k_proj.lora_B.default.weight,0.07407806068658829,True
base_model.model.language_model.model.layers.0.self_attn.v_proj.lora_A.default.weight,0.19254393875598907,True
base_model.model.language_model.model.layers.0.self_attn.v_proj.lora_B.default.weight,0.05660172179341316,True
base_model.model.language_model.model.layers.0.self_attn.o_proj.lora_A.default.weight,0.2724449038505554,True
base_model.model.language_model.model.layers.0.self_attn.o_proj.lora_B.default.weight,0.15440890192985535,True
base_model.model.language_model.model.layers.1.self_attn.q_proj.lora_A.default.weight,0.15552255511283875,True
base_model.model.language_model.model.layers.1.self_attn.q_proj.lora_B.default.weight,0.14922744035720825,True
base_model.model.language_model.model.layers.1.self_attn.k_proj.lora_A.default.weight,0.13995301723480225,True
base_model.model.language_model.model.layers.1.self_attn.k_proj.lora_B.default.weight,0.05828482285141945,True
base_model.model.language_model.model.layers.1.self_attn.v_proj.lora_A.default.weight,0.23387186229228973,True
base_model.model.language_model.model.layers.1.self_attn.v_proj.lora_B.default.weight,0.06286416947841644,True
base_model.model.language_model.model.layers.1.self_attn.o_proj.lora_A.default.weight,0.24744820594787598,True
base_model.model.language_model.model.layers.1.self_attn.o_proj.lora_B.default.weight,0.15928331017494202,True
base_model.model.language_model.model.layers.2.self_attn.q_proj.lora_A.default.weight,0.16822539269924164,True
base_model.model.language_model.model.layers.2.self_attn.q_proj.lora_B.default.weight,0.14255960285663605,True
base_model.model.language_model.model.layers.2.self_attn.k_proj.lora_A.default.weight,0.15675446391105652,True
base_model.model.language_model.model.layers.2.self_attn.k_proj.lora_B.default.weight,0.05940590426325798,True
base_model.model.language_model.model.layers.2.self_attn.v_proj.lora_A.default.weight,0.17672957479953766,True
base_model.model.language_model.model.layers.2.self_attn.v_proj.lora_B.default.weight,0.06006194278597832,True
base_model.model.language_model.model.layers.2.self_attn.o_proj.lora_A.default.weight,0.20731328427791595,True
base_model.model.language_model.model.layers.2.self_attn.o_proj.lora_B.default.weight,0.161458820104599,True
base_model.model.language_model.model.layers.3.self_attn.q_proj.lora_A.default.weight,0.14767202734947205,True
base_model.model.language_model.model.layers.3.self_attn.q_proj.lora_B.default.weight,0.13883766531944275,True
base_model.model.language_model.model.layers.3.self_attn.k_proj.lora_A.default.weight,0.14411088824272156,True
base_model.model.language_model.model.layers.3.self_attn.k_proj.lora_B.default.weight,0.05520138144493103,True
base_model.model.language_model.model.layers.3.self_attn.v_proj.lora_A.default.weight,0.20786646008491516,True
base_model.model.language_model.model.layers.3.self_attn.v_proj.lora_B.default.weight,0.06067264825105667,True
base_model.model.language_model.model.layers.3.self_attn.o_proj.lora_A.default.weight,0.19475418329238892,True
base_model.model.language_model.model.layers.3.self_attn.o_proj.lora_B.default.weight,0.1594240516424179,True
base_model.model.language_model.model.layers.4.self_attn.q_proj.lora_A.default.weight,0.15864497423171997,True
base_model.model.language_model.model.layers.4.self_attn.q_proj.lora_B.default.weight,0.1500600278377533,True
base_model.model.language_model.model.layers.4.self_attn.k_proj.lora_A.default.weight,0.1408790946006775,True
base_model.model.language_model.model.layers.4.self_attn.k_proj.lora_B.default.weight,0.0540459118783474,True
base_model.model.language_model.model.layers.4.self_attn.v_proj.lora_A.default.weight,0.1685677319765091,True
base_model.model.language_model.model.layers.4.self_attn.v_proj.lora_B.default.weight,0.06271637231111526,True
base_model.model.language_model.model.layers.4.self_attn.o_proj.lora_A.default.weight,0.19918833673000336,True
base_model.model.language_model.model.layers.4.self_attn.o_proj.lora_B.default.weight,0.1608486920595169,True
base_model.model.language_model.model.layers.5.self_attn.q_proj.lora_A.default.weight,0.17573752999305725,True
base_model.model.language_model.model.layers.5.self_attn.q_proj.lora_B.default.weight,0.15028436481952667,True
base_model.model.language_model.model.layers.5.self_attn.k_proj.lora_A.default.weight,0.1814296841621399,True
base_model.model.language_model.model.layers.5.self_attn.k_proj.lora_B.default.weight,0.06226357817649841,True
base_model.model.language_model.model.layers.5.self_attn.v_proj.lora_A.default.weight,0.19841013848781586,True
base_model.model.language_model.model.layers.5.self_attn.v_proj.lora_B.default.weight,0.06620252132415771,True
base_model.model.language_model.model.layers.5.self_attn.o_proj.lora_A.default.weight,0.20554526150226593,True
base_model.model.language_model.model.layers.5.self_attn.o_proj.lora_B.default.weight,0.17192120850086212,True
base_model.model.language_model.model.layers.6.self_attn.q_proj.lora_A.default.weight,0.20716755092144012,True
base_model.model.language_model.model.layers.6.self_attn.q_proj.lora_B.default.weight,0.16431522369384766,True
base_model.model.language_model.model.layers.6.self_attn.k_proj.lora_A.default.weight,0.1571558713912964,True
base_model.model.language_model.model.layers.6.self_attn.k_proj.lora_B.default.weight,0.05712234228849411,True
base_model.model.language_model.model.layers.6.self_attn.v_proj.lora_A.default.weight,0.195407435297966,True
base_model.model.language_model.model.layers.6.self_attn.v_proj.lora_B.default.weight,0.061456192284822464,True
base_model.model.language_model.model.layers.6.self_attn.o_proj.lora_A.default.weight,0.2407129406929016,True
base_model.model.language_model.model.layers.6.self_attn.o_proj.lora_B.default.weight,0.16975387930870056,True
base_model.model.language_model.model.layers.7.self_attn.q_proj.lora_A.default.weight,0.19689510762691498,True
base_model.model.language_model.model.layers.7.self_attn.q_proj.lora_B.default.weight,0.16182319819927216,True
base_model.model.language_model.model.layers.7.self_attn.k_proj.lora_A.default.weight,0.16130521893501282,True
base_model.model.language_model.model.layers.7.self_attn.k_proj.lora_B.default.weight,0.05996403470635414,True
base_model.model.language_model.model.layers.7.self_attn.v_proj.lora_A.default.weight,0.18940098583698273,True
base_model.model.language_model.model.layers.7.self_attn.v_proj.lora_B.default.weight,0.06048298254609108,True
base_model.model.language_model.model.layers.7.self_attn.o_proj.lora_A.default.weight,0.20285722613334656,True
base_model.model.language_model.model.layers.7.self_attn.o_proj.lora_B.default.weight,0.1650380939245224,True
base_model.model.language_model.model.layers.8.self_attn.q_proj.lora_A.default.weight,0.14455802738666534,True
base_model.model.language_model.model.layers.8.self_attn.q_proj.lora_B.default.weight,0.14438235759735107,True
base_model.model.language_model.model.layers.8.self_attn.k_proj.lora_A.default.weight,0.12556907534599304,True
base_model.model.language_model.model.layers.8.self_attn.k_proj.lora_B.default.weight,0.05090703070163727,True
base_model.model.language_model.model.layers.8.self_attn.v_proj.lora_A.default.weight,0.1843818575143814,True
base_model.model.language_model.model.layers.8.self_attn.v_proj.lora_B.default.weight,0.062252145260572433,True
base_model.model.language_model.model.layers.8.self_attn.o_proj.lora_A.default.weight,0.22377876937389374,True
base_model.model.language_model.model.layers.8.self_attn.o_proj.lora_B.default.weight,0.17023706436157227,True
base_model.model.language_model.model.layers.9.self_attn.q_proj.lora_A.default.weight,0.20320408046245575,True
base_model.model.language_model.model.layers.9.self_attn.q_proj.lora_B.default.weight,0.16454046964645386,True
base_model.model.language_model.model.layers.9.self_attn.k_proj.lora_A.default.weight,0.13231851160526276,True
base_model.model.language_model.model.layers.9.self_attn.k_proj.lora_B.default.weight,0.054450664669275284,True
base_model.model.language_model.model.layers.9.self_attn.v_proj.lora_A.default.weight,0.21420396864414215,True
base_model.model.language_model.model.layers.9.self_attn.v_proj.lora_B.default.weight,0.06193799152970314,True
base_model.model.language_model.model.layers.9.self_attn.o_proj.lora_A.default.weight,0.20517663657665253,True
base_model.model.language_model.model.layers.9.self_attn.o_proj.lora_B.default.weight,0.16548117995262146,True
base_model.model.language_model.model.layers.10.self_attn.q_proj.lora_A.default.weight,0.18647220730781555,True
base_model.model.language_model.model.layers.10.self_attn.q_proj.lora_B.default.weight,0.15667252242565155,True
base_model.model.language_model.model.layers.10.self_attn.k_proj.lora_A.default.weight,0.16483727097511292,True
base_model.model.language_model.model.layers.10.self_attn.k_proj.lora_B.default.weight,0.05780714005231857,True
base_model.model.language_model.model.layers.10.self_attn.v_proj.lora_A.default.weight,0.18360044062137604,True
base_model.model.language_model.model.layers.10.self_attn.v_proj.lora_B.default.weight,0.0616740845143795,True
base_model.model.language_model.model.layers.10.self_attn.o_proj.lora_A.default.weight,0.22906829416751862,True
base_model.model.language_model.model.layers.10.self_attn.o_proj.lora_B.default.weight,0.17337638139724731,True
base_model.model.language_model.model.layers.11.self_attn.q_proj.lora_A.default.weight,0.1669052243232727,True
base_model.model.language_model.model.layers.11.self_attn.q_proj.lora_B.default.weight,0.14368847012519836,True
base_model.model.language_model.model.layers.11.self_attn.k_proj.lora_A.default.weight,0.16755078732967377,True
base_model.model.language_model.model.layers.11.self_attn.k_proj.lora_B.default.weight,0.05528770387172699,True
base_model.model.language_model.model.layers.11.self_attn.v_proj.lora_A.default.weight,0.20669439435005188,True
base_model.model.language_model.model.layers.11.self_attn.v_proj.lora_B.default.weight,0.06170187518000603,True
base_model.model.language_model.model.layers.11.self_attn.o_proj.lora_A.default.weight,0.21029983460903168,True
base_model.model.language_model.model.layers.11.self_attn.o_proj.lora_B.default.weight,0.170460507273674,True
base_model.model.language_model.model.layers.12.self_attn.q_proj.lora_A.default.weight,0.18124468624591827,True
base_model.model.language_model.model.layers.12.self_attn.q_proj.lora_B.default.weight,0.15409228205680847,True
base_model.model.language_model.model.layers.12.self_attn.k_proj.lora_A.default.weight,0.16821514070034027,True
base_model.model.language_model.model.layers.12.self_attn.k_proj.lora_B.default.weight,0.05948951467871666,True
base_model.model.language_model.model.layers.12.self_attn.v_proj.lora_A.default.weight,0.19952958822250366,True
base_model.model.language_model.model.layers.12.self_attn.v_proj.lora_B.default.weight,0.07059178501367569,True
base_model.model.language_model.model.layers.12.self_attn.o_proj.lora_A.default.weight,0.22850853204727173,True
base_model.model.language_model.model.layers.12.self_attn.o_proj.lora_B.default.weight,0.1690705269575119,True
base_model.model.language_model.model.layers.13.self_attn.q_proj.lora_A.default.weight,0.21587952971458435,True
base_model.model.language_model.model.layers.13.self_attn.q_proj.lora_B.default.weight,0.16922321915626526,True
base_model.model.language_model.model.layers.13.self_attn.k_proj.lora_A.default.weight,0.14610342681407928,True
base_model.model.language_model.model.layers.13.self_attn.k_proj.lora_B.default.weight,0.05257263407111168,True
base_model.model.language_model.model.layers.13.self_attn.v_proj.lora_A.default.weight,0.19630859792232513,True
base_model.model.language_model.model.layers.13.self_attn.v_proj.lora_B.default.weight,0.0663248673081398,True
base_model.model.language_model.model.layers.13.self_attn.o_proj.lora_A.default.weight,0.22792470455169678,True
base_model.model.language_model.model.layers.13.self_attn.o_proj.lora_B.default.weight,0.1670324057340622,True
base_model.model.language_model.model.layers.14.self_attn.q_proj.lora_A.default.weight,0.2177109271287918,True
base_model.model.language_model.model.layers.14.self_attn.q_proj.lora_B.default.weight,0.1644510179758072,True
base_model.model.language_model.model.layers.14.self_attn.k_proj.lora_A.default.weight,0.17582376301288605,True
base_model.model.language_model.model.layers.14.self_attn.k_proj.lora_B.default.weight,0.06458477675914764,True
base_model.model.language_model.model.layers.14.self_attn.v_proj.lora_A.default.weight,0.19936437904834747,True
base_model.model.language_model.model.layers.14.self_attn.v_proj.lora_B.default.weight,0.067214734852314,True
base_model.model.language_model.model.layers.14.self_attn.o_proj.lora_A.default.weight,0.25348687171936035,True
base_model.model.language_model.model.layers.14.self_attn.o_proj.lora_B.default.weight,0.17992092669010162,True
