parameter_name,delta_norm,changed
base_model.model.language_model.model.layers.0.self_attn.q_proj.lora_A.default.weight,0.08777507394552231,True
base_model.model.language_model.model.layers.0.self_attn.q_proj.lora_B.default.weight,0.08058340847492218,True
base_model.model.language_model.model.layers.0.self_attn.k_proj.lora_A.default.weight,0.08035147935152054,True
base_model.model.language_model.model.layers.0.self_attn.k_proj.lora_B.default.weight,0.035371556878089905,True
base_model.model.language_model.model.layers.0.self_attn.v_proj.lora_A.default.weight,0.09871906042098999,True
base_model.model.language_model.model.layers.0.self_attn.v_proj.lora_B.default.weight,0.03186109662055969,True
base_model.model.language_model.model.layers.0.self_attn.o_proj.lora_A.default.weight,0.11332613229751587,True
base_model.model.language_model.model.layers.0.self_attn.o_proj.lora_B.default.weight,0.08396456390619278,True
base_model.model.language_model.model.layers.1.self_attn.q_proj.lora_A.default.weight,0.10486117750406265,True
base_model.model.language_model.model.layers.1.self_attn.q_proj.lora_B.default.weight,0.08716657757759094,True
base_model.model.language_model.model.layers.1.self_attn.k_proj.lora_A.default.weight,0.07144021987915039,True
base_model.model.language_model.model.layers.1.self_attn.k_proj.lora_B.default.weight,0.03246688097715378,True
base_model.model.language_model.model.layers.1.self_attn.v_proj.lora_A.default.weight,0.1101880818605423,True
base_model.model.language_model.model.layers.1.self_attn.v_proj.lora_B.default.weight,0.03361499309539795,True
base_model.model.language_model.model.layers.1.self_attn.o_proj.lora_A.default.weight,0.13299348950386047,True
base_model.model.language_model.model.layers.1.self_attn.o_proj.lora_B.default.weight,0.09370716661214828,True
base_model.model.language_model.model.layers.2.self_attn.q_proj.lora_A.default.weight,0.083399198949337,True
base_model.model.language_model.model.layers.2.self_attn.q_proj.lora_B.default.weight,0.07831355929374695,True
base_model.model.language_model.model.layers.2.self_attn.k_proj.lora_A.default.weight,0.07882409542798996,True
base_model.model.language_model.model.layers.2.self_attn.k_proj.lora_B.default.weight,0.031114455312490463,True
base_model.model.language_model.model.layers.2.self_attn.v_proj.lora_A.default.weight,0.12459049373865128,True
base_model.model.language_model.model.layers.2.self_attn.v_proj.lora_B.default.weight,0.037888213992118835,True
base_model.model.language_model.model.layers.2.self_attn.o_proj.lora_A.default.weight,0.11862603574991226,True
base_model.model.language_model.model.layers.2.self_attn.o_proj.lora_B.default.weight,0.08747213333845139,True
base_model.model.language_model.model.layers.3.self_attn.q_proj.lora_A.default.weight,0.08220523595809937,True
base_model.model.language_model.model.layers.3.self_attn.q_proj.lora_B.default.weight,0.08247867971658707,True
base_model.model.language_model.model.layers.3.self_attn.k_proj.lora_A.default.weight,0.07366535067558289,True
base_model.model.language_model.model.layers.3.self_attn.k_proj.lora_B.default.weight,0.03143790364265442,True
base_model.model.language_model.model.layers.3.self_attn.v_proj.lora_A.default.weight,0.10502054542303085,True
base_model.model.language_model.model.layers.3.self_attn.v_proj.lora_B.default.weight,0.0352243036031723,True
base_model.model.language_model.model.layers.3.self_attn.o_proj.lora_A.default.weight,0.1152271181344986,True
base_model.model.language_model.model.layers.3.self_attn.o_proj.lora_B.default.weight,0.09144365042448044,True
base_model.model.language_model.model.layers.4.self_attn.q_proj.lora_A.default.weight,0.08315134048461914,True
base_model.model.language_model.model.layers.4.self_attn.q_proj.lora_B.default.weight,0.08548111468553543,True
base_model.model.language_model.model.layers.4.self_attn.k_proj.lora_A.default.weight,0.07535038143396378,True
base_model.model.language_model.model.layers.4.self_attn.k_proj.lora_B.default.weight,0.033178046345710754,True
base_model.model.language_model.model.layers.4.self_attn.v_proj.lora_A.default.weight,0.09931938350200653,True
base_model.model.language_model.model.layers.4.self_attn.v_proj.lora_B.default.weight,0.037445854395627975,True
base_model.model.language_model.model.layers.4.self_attn.o_proj.lora_A.default.weight,0.11664704233407974,True
base_model.model.language_model.model.layers.4.self_attn.o_proj.lora_B.default.weight,0.09560297429561615,True
base_model.model.language_model.model.layers.5.self_attn.q_proj.lora_A.default.weight,0.09377460181713104,True
base_model.model.language_model.model.layers.5.self_attn.q_proj.lora_B.default.weight,0.08426953852176666,True
base_model.model.language_model.model.layers.5.self_attn.k_proj.lora_A.default.weight,0.08505596220493317,True
base_model.model.language_model.model.layers.5.self_attn.k_proj.lora_B.default.weight,0.03229082375764847,True
base_model.model.language_model.model.layers.5.self_attn.v_proj.lora_A.default.weight,0.11054324358701706,True
base_model.model.language_model.model.layers.5.self_attn.v_proj.lora_B.default.weight,0.03834419324994087,True
base_model.model.language_model.model.layers.5.self_attn.o_proj.lora_A.default.weight,0.11314299702644348,True
base_model.model.language_model.model.layers.5.self_attn.o_proj.lora_B.default.weight,0.09212631732225418,True
base_model.model.language_model.model.layers.6.self_attn.q_proj.lora_A.default.weight,0.10778745263814926,True
base_model.model.language_model.model.layers.6.self_attn.q_proj.lora_B.default.weight,0.09527408331632614,True
base_model.model.language_model.model.layers.6.self_attn.k_proj.lora_A.default.weight,0.08300856500864029,True
base_model.model.language_model.model.layers.6.self_attn.k_proj.lora_B.default.weight,0.03594974800944328,True
base_model.model.language_model.model.layers.6.self_attn.v_proj.lora_A.default.weight,0.11360025405883789,True
base_model.model.language_model.model.layers.6.self_attn.v_proj.lora_B.default.weight,0.03599356487393379,True
base_model.model.language_model.model.layers.6.self_attn.o_proj.lora_A.default.weight,0.12476466596126556,True
base_model.model.language_model.model.layers.6.self_attn.o_proj.lora_B.default.weight,0.0937550961971283,True
base_model.model.language_model.model.layers.7.self_attn.q_proj.lora_A.default.weight,0.10941492766141891,True
base_model.model.language_model.model.layers.7.self_attn.q_proj.lora_B.default.weight,0.0929352417588234,True
base_model.model.language_model.model.layers.7.self_attn.k_proj.lora_A.default.weight,0.08437105268239975,True
base_model.model.language_model.model.layers.7.self_attn.k_proj.lora_B.default.weight,0.03409160301089287,True
base_model.model.language_model.model.layers.7.self_attn.v_proj.lora_A.default.weight,0.11478825658559799,True
base_model.model.language_model.model.layers.7.self_attn.v_proj.lora_B.default.weight,0.03656197711825371,True
base_model.model.language_model.model.layers.7.self_attn.o_proj.lora_A.default.weight,0.11481932550668716,True
base_model.model.language_model.model.layers.7.self_attn.o_proj.lora_B.default.weight,0.09427650272846222,True
base_model.model.language_model.model.layers.8.self_attn.q_proj.lora_A.default.weight,0.07883822172880173,True
base_model.model.language_model.model.layers.8.self_attn.q_proj.lora_B.default.weight,0.08265350013971329,True
base_model.model.language_model.model.layers.8.self_attn.k_proj.lora_A.default.weight,0.07692354917526245,True
base_model.model.language_model.model.layers.8.self_attn.k_proj.lora_B.default.weight,0.030634786933660507,True
base_model.model.language_model.model.layers.8.self_attn.v_proj.lora_A.default.weight,0.11823540180921555,True
base_model.model.language_model.model.layers.8.self_attn.v_proj.lora_B.default.weight,0.037451013922691345,True
base_model.model.language_model.model.layers.8.self_attn.o_proj.lora_A.default.weight,0.13200247287750244,True
